pipeline,window_s,outer_fold,study_name,number,value,state,params_band,params_dropout,params_hid,params_out,params_s_idx,user_attrs_outer_fold,user_attrs_window_s,params_C,params_max_pca,params_model
graph,4,5,eeg_graph_win4_fold5_20251014-071259,9,-0.6081460868123602,COMPLETE,gamma,0.3078646464236612,16.0,8.0,0.0,5.0,4.0,,,
graph,4,5,eeg_graph_win4_fold5_20251014-071259,10,-0.6244544052869979,COMPLETE,delta,0.3279618509634565,12.0,8.0,3.0,5.0,4.0,,,
graph,4,5,eeg_graph_win4_fold5_20251014-071259,11,-0.7322676041574399,COMPLETE,beta,0.28131767324633405,12.0,8.0,3.0,5.0,4.0,,,
graph,4,5,eeg_graph_win4_fold5_20251014-071259,12,-0.8887965168977643,COMPLETE,delta,0.301258929108145,16.0,8.0,1.0,5.0,4.0,,,
graph,4,5,eeg_graph_win4_fold5_20251014-071259,13,-0.8563498408734898,COMPLETE,delta,0.31662991032550236,12.0,8.0,1.0,5.0,4.0,,,
graph,4,5,eeg_graph_win4_fold5_20251014-071259,14,-0.8160998683984669,COMPLETE,delta,0.29481995330284033,8.0,8.0,1.0,5.0,4.0,,,
graph,4,5,eeg_graph_win4_fold5_20251014-071259,15,-0.8889315307708161,COMPLETE,delta,0.3191139925522056,16.0,8.0,1.0,5.0,4.0,,,
graph,4,5,eeg_graph_win4_fold5_20251014-071259,16,-0.8905610210011767,COMPLETE,delta,0.34882295119501994,16.0,8.0,1.0,5.0,4.0,,,
graph,4,5,eeg_graph_win4_fold5_20251014-071259,17,-0.726190999611366,COMPLETE,beta,0.3486157256384997,16.0,8.0,1.0,5.0,4.0,,,
graph,4,5,eeg_graph_win4_fold5_20251014-071259,18,-0.8904260215155473,COMPLETE,delta,0.35049270826015105,16.0,8.0,1.0,5.0,4.0,,,
graph,4,5,eeg_graph_win4_fold5_20251014-071259,19,-0.8907056756998566,COMPLETE,delta,0.3582854606531595,16.0,8.0,1.0,5.0,4.0,,,
graph,4,5,eeg_graph_win4_fold5_20251014-071259,20,-0.8909190696684876,COMPLETE,delta,0.3623506953293468,16.0,8.0,1.0,5.0,4.0,,,
graph,4,5,eeg_graph_win4_fold5_20251014-071259,21,-0.8909633314558909,COMPLETE,delta,0.36596498751955514,16.0,8.0,1.0,5.0,4.0,,,
graph,4,5,eeg_graph_win4_fold5_20251014-071259,22,-0.8909190696684876,COMPLETE,delta,0.3633078408014642,16.0,8.0,1.0,5.0,4.0,,,
graph,4,5,eeg_graph_win4_fold5_20251014-071259,23,-0.89092637505101,COMPLETE,delta,0.36441249277506493,16.0,8.0,1.0,5.0,4.0,,,
graph,4,5,eeg_graph_win4_fold5_20251014-071259,24,-0.7217936795219403,COMPLETE,delta,0.37753605711604504,16.0,8.0,3.0,5.0,4.0,,,
graph,4,5,eeg_graph_win4_fold5_20251014-071259,25,-0.7475593597513054,COMPLETE,beta,0.3661628445580894,8.0,8.0,1.0,5.0,4.0,,,
graph,4,5,eeg_graph_win4_fold5_20251014-071259,26,-0.8899886339693591,COMPLETE,delta,0.33905817783716174,16.0,8.0,1.0,5.0,4.0,,,
graph,4,5,eeg_graph_win4_fold5_20251014-071259,27,-0.890671460879925,COMPLETE,delta,0.3580968405935345,16.0,8.0,1.0,5.0,4.0,,,
graph,4,5,eeg_graph_win4_fold5_20251014-071259,28,-0.8917983551666842,COMPLETE,delta,0.37983844977205355,16.0,8.0,1.0,5.0,4.0,,,
graph,4,5,eeg_graph_win4_fold5_20251014-071259,29,-0.6661482592102982,COMPLETE,theta,0.37781458097493725,16.0,8.0,3.0,5.0,4.0,,,
graph,4,5,eeg_graph_win4_fold5_20251014-071259,30,-0.6968968202895072,COMPLETE,beta,0.36995465486198126,8.0,8.0,2.0,5.0,4.0,,,
graph,4,5,eeg_graph_win4_fold5_20251014-071259,31,-0.8908044663072848,COMPLETE,delta,0.36075815346460927,16.0,8.0,1.0,5.0,4.0,,,
classical,4,1,,0,-0.9479572534458006,COMPLETE,,,,,,,,0.09454306819536169,9.0,svc
classical,4,1,,1,-0.9540988798231885,COMPLETE,,,,,,,,0.001434715951720141,11.0,logreg
classical,4,1,,2,-0.9451555248978648,COMPLETE,,,,,,,,0.001136467270001117,12.0,svc
classical,4,1,,3,-0.9512977276123116,COMPLETE,,,,,,,,0.003095566460242371,6.0,logreg
classical,4,1,,4,-0.9472954664004393,COMPLETE,,,,,,,,0.014648955132800727,7.0,svc
classical,4,1,,5,-0.9564271171299774,COMPLETE,,,,,,,,0.00614454378558747,7.0,logreg
classical,4,1,,6,-0.9469530582745822,COMPLETE,,,,,,,,0.0034587052147518095,9.0,svc
classical,4,1,,7,-0.9610005580660136,COMPLETE,,,,,,,,0.04362599362560559,6.0,logreg
